epoch	train_loss	train_acc	val_loss	val_acc
1	6.600215	0.011806	4.500647	0.020089
2	6.499989	0.013194	4.061795	0.043103
3	5.567132	0.051389	3.386079	0.123230
4	4.806245	0.145833	2.823179	0.205203
5	3.790774	0.295139	2.041655	0.415256
6	2.940694	0.470139	1.616414	0.529788
7	2.338257	0.589583	1.108224	0.671567
8	1.817891	0.697222	0.928024	0.732066
9	1.394022	0.807639	0.785745	0.790563
10	1.070507	0.849306	0.688588	0.784560
11	0.696498	0.935417	0.416099	0.899554
12	0.491603	0.968750	0.416972	0.887469
13	0.377921	0.986111	0.390336	0.910022
14	0.325443	0.985417	0.370353	0.914255
15	0.257435	0.991667	0.354078	0.918719
16	0.234695	0.990278	0.359329	0.907328
17	0.182185	0.994444	0.345700	0.916487
18	0.149701	0.997222	0.363630	0.927648
19	0.156517	0.992361	0.360208	0.920951
20	0.106297	0.997222	0.378484	0.921182
21	0.088450	0.998611	0.350445	0.921413
22	0.075646	1.000000	0.352885	0.921413
23	0.069369	1.000000	0.350219	0.920490
24	0.064335	1.000000	0.347573	0.923876
25	0.059905	1.000000	0.351990	0.923414
