epoch	train_loss	train_acc	val_loss	val_acc
1	5.154717	0.009722	4.378695	0.104911
2	4.788622	0.121528	3.908846	0.263701
3	4.204232	0.218056	2.959290	0.468134
4	3.263546	0.379167	2.079594	0.653479
5	2.399810	0.604167	1.390863	0.727371
6	1.788233	0.672917	0.960093	0.805111
7	1.462850	0.729861	0.915382	0.799723
8	1.089074	0.813194	0.570010	0.881235
9	0.810405	0.892361	0.471691	0.872537
10	0.676960	0.896528	0.373120	0.947968
11	0.456007	0.949306	0.239940	0.955357
12	0.338009	0.968056	0.195699	0.963824
13	0.307357	0.975000	0.192534	0.958898
14	0.270166	0.979861	0.191690	0.964055
15	0.214634	0.988194	0.191305	0.957127
16	0.177895	0.993056	0.167847	0.968519
17	0.154502	0.993056	0.152173	0.964055
18	0.117442	0.993056	0.156008	0.968750
19	0.123498	0.996528	0.178245	0.959360
20	0.147909	0.991667	0.139580	0.970520
