epoch	train_loss	train_acc	val_loss	val_acc
1	4.362335	0.025694	4.042376	0.069658
2	3.874145	0.071528	3.519832	0.112069
3	3.410762	0.120833	3.077112	0.167257
4	2.877365	0.187500	2.480308	0.316579
5	2.228062	0.350694	2.001885	0.428417
6	1.903180	0.439583	1.908248	0.496998
7	1.508311	0.558333	1.407991	0.584283
8	1.115095	0.671528	1.115373	0.680958
9	0.883418	0.732639	0.948401	0.726755
10	0.719022	0.782639	0.867341	0.742765
11	0.369520	0.906250	0.582475	0.837669
12	0.245533	0.940278	0.525440	0.853987
13	0.184129	0.962500	0.474236	0.872075
14	0.102701	0.987500	0.420415	0.889009
15	0.080478	0.990278	0.411222	0.894397
16	0.084952	0.984722	0.509823	0.854218
17	0.105836	0.975000	0.511948	0.853294
18	0.103743	0.978472	0.468192	0.860453
19	0.089764	0.982639	0.459153	0.869612
20	0.036984	0.996528	0.388453	0.902863
