epoch	train_loss	train_acc	val_loss	val_acc
1	6.294715	0.010417	4.280177	0.040640
2	5.513785	0.047917	3.573430	0.085283
3	4.939830	0.102778	3.111851	0.128156
4	4.278930	0.226389	2.494196	0.290025
5	3.611762	0.355556	1.941953	0.422876
6	3.247731	0.445833	1.572188	0.517549
7	2.778236	0.575000	1.406582	0.600139
8	2.500900	0.648611	1.022796	0.728294
9	2.113466	0.761806	0.903982	0.738762
10	1.851531	0.849306	0.798902	0.754849
11	1.556644	0.930556	0.433131	0.889701
12	1.417249	0.963194	0.429790	0.882774
13	1.352320	0.975694	0.420546	0.890163
14	1.307751	0.977083	0.393444	0.887931
15	1.264381	0.985417	0.398922	0.885237
16	1.231263	0.988889	0.331506	0.910022
17	1.202495	0.990972	0.413911	0.891933
18	1.167982	0.993750	0.348842	0.909329
19	1.153057	0.991667	0.390213	0.898399
20	1.128518	0.994444	0.367220	0.903325
