epoch	train_loss	train_acc	val_loss	val_acc
1	4.045111	0.131250	3.515040	0.235530
2	2.320734	0.490972	1.853830	0.534252
3	1.188222	0.734722	1.519094	0.627540
4	0.634394	0.856944	0.810607	0.788793
5	0.398686	0.918750	0.629878	0.829895
6	0.260798	0.947222	0.754990	0.763316
7	0.197007	0.963889	0.497485	0.862916
8	0.127922	0.979167	0.438368	0.897091
9	0.104983	0.985417	0.407356	0.887469
10	0.067252	0.994444	0.328767	0.914255
11	0.055317	0.991667	0.286957	0.923876
12	0.044265	0.995139	0.288666	0.921182
13	0.051049	0.992361	0.276647	0.926339
14	0.048950	0.991667	0.271163	0.923876
15	0.036983	0.994444	0.275913	0.928341
16	0.034428	0.997917	0.257539	0.932805
17	0.025360	0.999306	0.260970	0.925877
18	0.022885	0.998611	0.254603	0.928110
19	0.024885	0.999306	0.272737	0.917180
20	0.020099	1.000000	0.237291	0.932574
