epoch	train_loss	train_acc	val_loss	val_acc
1	4.499009	0.015278	4.488830	0.011161
2	4.489494	0.015972	4.487872	0.022552
3	4.485091	0.009722	4.484099	0.006696
4	4.466502	0.011806	4.487941	0.011161
5	4.483495	0.011111	4.471969	0.022783
6	4.398777	0.013889	4.266478	0.033713
7	4.219206	0.029167	4.147542	0.035714
8	4.029678	0.049306	3.895961	0.069196
9	3.656748	0.088889	3.598003	0.139547
10	3.394576	0.099306	3.025793	0.179033
11	2.793513	0.200000	2.541175	0.250924
12	2.455211	0.261806	2.477918	0.264778
13	2.210924	0.339583	2.290934	0.345828
14	2.073986	0.380556	2.040991	0.394935
15	1.870554	0.443750	2.021205	0.431573
16	1.721305	0.484028	1.655967	0.517087
17	1.582005	0.512500	1.548493	0.501693
18	1.407605	0.569444	1.498720	0.568889
19	1.274393	0.593056	1.549454	0.555034
20	1.251038	0.606250	1.251152	0.593673
21	0.935474	0.711111	1.144829	0.667565
22	0.842226	0.722222	1.102419	0.662869
23	0.766284	0.765278	1.052600	0.658174
24	0.675068	0.784722	0.968558	0.739455
25	0.680119	0.786111	1.169515	0.659021
