epoch	train_loss	train_acc	val_loss	val_acc
1	5.296323	0.012500	4.377569	0.103833
2	4.924142	0.098611	3.975078	0.237762
3	4.281913	0.180556	2.967839	0.541410
4	3.488037	0.336806	2.308415	0.628925
5	2.675765	0.525694	1.446788	0.764701
6	2.195763	0.602778	1.364304	0.705742
7	1.727666	0.684722	0.907162	0.835668
8	1.406729	0.754167	0.840281	0.836823
9	1.158212	0.807639	0.645900	0.858220
10	0.905749	0.875694	0.426697	0.910022
11	0.603752	0.931944	0.329920	0.937500
12	0.465263	0.961111	0.289295	0.946198
13	0.419169	0.978472	0.261374	0.941272
14	0.381312	0.967361	0.228642	0.953125
15	0.335417	0.975694	0.255631	0.935037
16	0.264906	0.986111	0.209502	0.962054
17	0.223840	0.991667	0.197183	0.957358
18	0.223964	0.988194	0.213982	0.952894
19	0.170730	0.995833	0.208802	0.941272
20	0.145027	0.988889	0.160777	0.964055
