epoch	train_loss	train_acc	val_loss	val_acc
1	4.636536	0.241379	2.430176	0.789810
2	1.148258	0.895259	0.317739	0.970788
3	0.190798	0.984914	0.141216	0.975951
4	0.062628	0.994612	0.062472	0.989130
5	0.047468	0.993534	0.431135	0.913179
6	0.035082	0.992672	0.080056	0.979620
7	0.064704	0.988362	0.090773	0.982337
8	0.032279	0.993534	0.290930	0.925951
9	0.017485	0.996336	0.038919	0.992527
10	0.009247	0.997414	0.038643	0.990489
11	0.007108	0.997629	0.035927	0.993886
12	0.004953	0.999138	0.032788	0.994565
13	0.007518	0.998060	0.038068	0.991168
14	0.004291	0.998922	0.034067	0.993886
15	0.006639	0.998276	0.037041	0.992527
16	0.005171	0.998707	0.037172	0.991168
17	0.003446	0.999353	0.037362	0.993207
18	0.004170	0.998922	0.037394	0.992527
19	0.002952	0.999784	0.033170	0.994565
20	0.004935	0.998060	0.035760	0.991848
21	0.002549	0.999569	0.034035	0.994565
22	0.001392	1.000000	0.033011	0.994565
23	0.001429	1.000000	0.035804	0.993207
24	0.001715	0.999569	0.032807	0.994565
25	0.001053	1.000000	0.033146	0.994565
