epoch	train_loss	train_acc	val_loss	val_acc
1	5.980072	0.011853	5.496708	0.072962
2	5.077754	0.064224	3.323347	0.293478
3	3.062140	0.313147	1.483367	0.656658
4	1.699525	0.614655	0.868766	0.790082
5	1.033710	0.789224	0.429862	0.904891
6	0.609135	0.890948	0.314974	0.919837
7	0.389303	0.941595	0.222755	0.949728
8	0.305842	0.948276	0.168305	0.958560
9	0.211026	0.969397	0.085184	0.982337
10	0.147785	0.982328	0.090677	0.981658
11	0.094160	0.991595	0.063109	0.987772
12	0.064884	0.994612	0.048836	0.993886
13	0.057113	0.998276	0.059007	0.990489
14	0.057447	0.992672	0.061921	0.987772
15	0.046279	0.995905	0.042910	0.992527
16	0.068045	0.991595	0.095834	0.984103
17	0.045013	0.994181	0.043549	0.992527
18	0.038616	0.995259	0.041188	0.990489
19	0.030433	0.997629	0.042579	0.990489
20	0.032576	0.997414	0.050910	0.989130
21	0.025828	0.994828	0.042714	0.992527
22	0.020022	0.998276	0.044758	0.991848
23	0.018836	0.997845	0.041321	0.991848
24	0.019243	0.997414	0.059361	0.986821
25	0.024328	0.996336	0.048960	0.989810
