epoch	train_loss	train_acc	val_loss	val_acc
1	4.368676	0.099306	3.960072	0.125924
2	3.723465	0.225000	3.101594	0.308344
3	2.945147	0.323611	2.690293	0.446967
4	2.205947	0.502778	1.716554	0.603063
5	1.587484	0.668056	1.236805	0.744150
6	1.098699	0.791667	0.866782	0.812038
7	0.747590	0.865972	0.731138	0.826740
8	0.503518	0.920833	0.475213	0.887238
9	0.357629	0.947222	0.343546	0.914717
10	0.250055	0.962500	0.282658	0.926108
11	0.150942	0.981944	0.191646	0.955126
12	0.104604	0.990278	0.185181	0.959360
13	0.100423	0.995139	0.189912	0.948199
14	0.073544	0.995139	0.161171	0.966056
15	0.056206	0.999306	0.159938	0.955126
16	0.048561	0.997917	0.151145	0.963593
17	0.058436	0.995833	0.154262	0.957127
18	0.045475	0.996528	0.143771	0.956897
19	0.035085	0.999306	0.143701	0.950662
20	0.033576	0.998611	0.162062	0.948199
21	0.035260	0.997917	0.130395	0.966518
22	0.024813	1.000000	0.133506	0.957589
23	0.025460	1.000000	0.137265	0.966518
24	0.018578	1.000000	0.129059	0.959360
25	0.022771	0.999306	0.119581	0.964286
