epoch	train_loss	train_acc	val_loss	val_acc
1	4.504091	0.006944	4.487808	0.018088
2	4.487532	0.007639	4.480399	0.011392
3	4.451018	0.009722	4.375951	0.031481
4	4.378462	0.021528	4.270128	0.043103
5	4.210350	0.038889	4.118820	0.042642
6	4.030512	0.048611	3.900883	0.067195
7	3.879998	0.064583	3.691939	0.082589
8	3.624672	0.096528	3.551655	0.114301
9	3.421387	0.128472	3.109560	0.208513
10	3.146857	0.184722	2.792320	0.252309
11	2.722060	0.271528	2.551997	0.328664
12	2.420341	0.328472	2.475617	0.335591
13	2.217574	0.382639	2.011341	0.493611
14	1.998095	0.438889	1.872117	0.521090
15	1.757881	0.495833	1.730978	0.541179
16	1.531748	0.561806	1.520852	0.572429
17	1.428813	0.602778	1.429004	0.600831
18	1.260205	0.640278	1.448835	0.590517
19	1.111755	0.675694	1.289834	0.647244
20	0.961805	0.720833	1.001663	0.718673
21	0.721377	0.770833	0.992075	0.748153
22	0.600606	0.811806	0.986772	0.757081
23	0.616918	0.813194	1.131885	0.738531
24	0.551647	0.839583	0.976776	0.755080
25	0.495302	0.852778	0.989208	0.779865
